AVG_TTR,MIN_AVG_TTR,Status,
1685,1684,FREE,
1690,1685,FREE,
1660,1834,FREE,
1462,1677,FREE,
1702,1716,FREE,
1715,1301,FREE,
7567,1735,BUSY,
7567,1735,BUSY,
1687,1419,FREE,
1452,1694,FREE,
1600,1698,FREE,
1677,1666,FREE,
1765,1744,FREE,
1470,1672,FREE,
14589,6685,OVERLOADED,
14589,6685,OVERLOADED,
1508,1721,FREE,
7592,13367,OVERLOADED,
7592,13367,OVERLOADED,
7488,13563,OVERLOADED,
7488,13563,OVERLOADED,
12099,1576,OVERLOADED,
12099,1576,OVERLOADED,
8693,11848,OVERLOADED,
8693,11848,OVERLOADED,
10691,1258,OVERLOADED,
10691,1258,OVERLOADED,
8520,1588,BUSY,
8520,1588,BUSY,
10383,2605,OVERLOADED,
10383,2605,OVERLOADED,
10442,1603,OVERLOADED,
10442,1603,OVERLOADED,
5975,11110,OVERLOADED,
5975,11110,OVERLOADED,
3724,6078,BUSY,
3724,6078,BUSY,
1567,3415,FREE,
9722,1543,OVERLOADED,
9722,1543,OVERLOADED,
5828,2001,BUSY,
5828,2001,BUSY,
1479,1718,FREE,
1761,1673,FREE,
4005,6601,BUSY,
4005,6601,BUSY,
4042,6383,BUSY,
4042,6383,BUSY,
3861,6318,BUSY,
3861,6318,BUSY,
5838,1658,BUSY,
5838,1658,BUSY,
6282,1668,BUSY,
6282,1668,BUSY,
5793,1769,BUSY,
5793,1769,BUSY,
6205,1698,BUSY,
6205,1698,BUSY,
3937,6102,BUSY,
3937,6102,BUSY,
5785,1649,BUSY,
5785,1649,BUSY,
1580,1229,FREE,
1572,1226,FREE,
1575,1277,FREE,
1632,1440,FREE,
1596,1258,FREE,
1656,1222,FREE,
1562,1284,FREE,
1560,1307,FREE,
1457,1455,FREE,
1549,1381,FREE,
1398,1670,FREE,
1414,1599,FREE,
1453,1623,FREE,
1378,1592,FREE,
1465,1403,FREE,
4323,4888,BUSY,
4323,4888,BUSY,
6080,1497,BUSY,
6080,1497,BUSY,
5145,8910,OVERLOADED,
5145,8910,OVERLOADED,
7446,1323,OVERLOADED,
7446,1323,OVERLOADED,
4840,1218,BUSY,
4840,1218,BUSY,
1215,1216,FREE,
1214,1195,FREE,
4303,7130,OVERLOADED,
4303,7130,OVERLOADED,
4233,7184,OVERLOADED,
4233,7184,OVERLOADED,
6126,3636,BUSY,
6126,3636,BUSY,
4264,7367,OVERLOADED,
4264,7367,OVERLOADED,
7686,1184,OVERLOADED,
7686,1184,OVERLOADED,
8911,1401,OVERLOADED,
8911,1401,OVERLOADED,
8869,1218,OVERLOADED,
8869,1218,OVERLOADED,
7721,1205,OVERLOADED,
7721,1205,OVERLOADED,
6406,5776,BUSY,
6406,5776,BUSY,
4917,8639,OVERLOADED,
4917,8639,OVERLOADED,
8512,1209,OVERLOADED,
8512,1209,OVERLOADED,
1259,1192,FREE,
1222,1236,FREE,
1207,1194,FREE,
1198,1202,FREE,
1198,1198,FREE,
1226,1202,FREE,
1188,1187,FREE,
1194,1193,FREE,
1207,1185,FREE,
1198,1205,FREE,
1205,1208,FREE,
1191,1204,FREE,
1195,1195,FREE,
3003,4773,BUSY,
3003,4773,BUSY,
4979,1216,BUSY,
4979,1216,BUSY,
1191,1210,FREE,
1203,1208,FREE,
1189,1225,FREE,
2997,4807,BUSY,
2997,4807,BUSY,
2737,4739,BUSY,
2737,4739,BUSY,
3519,5932,BUSY,
3519,5932,BUSY,
6086,1225,BUSY,
6086,1225,BUSY,
